,Harsh Acceleration,Harsh Breaking,Battery level,vehicle distance,Torque,TCO Vehicle Speed,Fuel Rate Avg,Total Fuel consumption,Fuel Primary Tank,Battery Voltage,Transmission current gear,Catalyst tank level,coolant temperature,Engine on,Engine Oil Pressure,Oil Temperature,Engine speed,break pedal,Malfunction lamp status,Amber warning lamp status,Red stop lamp status,DTC,time
30,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:13:28
31,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:13:48
32,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:14:08
33,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:14:28
34,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:14:49
35,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:15:09
36,-,-,100 %,18622.94 Km,0 %,19.7 Km/h,1.48 Km/L,12605.5 L,76 %,28.2 VDC,011,57.6 %,80 °C,1493.25 H,5.56 BAR,80.7 °C,1295 Rpm,Off,Not,Not,Not,00000,2023-11-01 01:15:29
37,-,-,100 %,18623.09 Km,5 %,19.2 Km/h,1.48 Km/L,12605.5 L,74.4 %,28.2 VDC,009,56.4 %,81 °C,1493.26 H,5.44 BAR,82.1 °C,1706 Rpm,On,Not,Not,Not,00000,2023-11-01 01:15:49
38,-,-,100 %,18623.15 Km,47 %,12.1 Km/h,1.48 Km/L,12605.5 L,73.6 %,28.3 VDC,007,57.6 %,83 °C,1493.26 H,5.48 BAR,82.8 °C,1545 Rpm,Off,Not,Not,Not,00000,2023-11-01 01:16:09
39,-,-,100 %,18623.17 Km,0 %,4.2 Km/h,1.48 Km/L,12605.5 L,76.8 %,28.2 VDC,0-2,58.4 %,83 °C,1493.27 H,5.28 BAR,83.6 °C,1306 Rpm,Off,Not,Not,Not,00000,2023-11-01 01:16:29
40,-,-,100 %,18623.18 Km,21 %,0 Km/h,1.48 Km/L,12605.5 L,79.6 %,28.2 VDC,000,59.2 %,82 °C,1493.28 H,5 BAR,83.3 °C,1174 Rpm,Off,Not,Not,Not,00000,2023-11-01 01:16:49
41,-,-,100 %,18623.18 Km,51 %,3.8 Km/h,1.48 Km/L,12605.5 L,79.6 %,28.3 VDC,002,60 %,82 °C,1493.28 H,3 BAR,83.6 °C,1301 Rpm,Off,Not,Not,Not,00000,2023-11-01 01:17:07
